0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:44 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:52 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:53 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:56 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:20:00 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [08/May/2020:11:20:09 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:18 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:39 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:43 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:44 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:21:59 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [08/May/2020:11:23:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:23:43 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:23:43 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
